Date: 07-04 at 20:51:25, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1352.17, max: 1441.74
Date: 07-04 at 20:53:00, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1352.50, max: 1444.68
Date: 07-04 at 20:54:40, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1347.26, max: 1368.38
Date: 07-04 at 20:56:21, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1346.82, max: 1363.61
Date: 07-04 at 20:57:30, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1346.84, max: 1363.96
Date: 07-04 at 20:59:20, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1345.97, max: 1363.61
Date: 07-04 at 21:00:46, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1345.97, max: 1363.61
Date: 07-04 at 21:02:17, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1346.15, max: 1364.95
Date: 07-04 at 21:03:41, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1345.14, max: 1363.61
Date: 07-04 at 21:05:07, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:06:20, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.77, max: 1363.96
Date: 07-04 at 21:07:49, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:09:26, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:10:56, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:12:27, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:14:18, iter: 91, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.83, max: 1364.95
Date: 07-04 at 21:15:39, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:17:17, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.83, max: 1364.95
Date: 07-04 at 21:18:51, iter: 94, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1344.74, max: 1363.61
Date: 07-04 at 21:20:23, iter: 95, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:21:58, iter: 96, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:23:28, iter: 97, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:25:04, iter: 98, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:26:55, iter: 99, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:28:07, iter: 100, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:29:40, iter: 101, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:31:11, iter: 102, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:32:58, iter: 103, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:34:43, iter: 104, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:36:40, iter: 105, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:38:31, iter: 106, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:39:43, iter: 107, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1343.39, max: 1343.39
Date: 07-04 at 21:41:23, iter: 109, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 2598.79, max: 4609.65
Date: 07-04 at 21:43:09, iter: 110, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1751.70, max: 4562.54
Date: 07-04 at 21:44:29, iter: 111, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1699.66, max: 4011.97
Date: 07-04 at 21:45:57, iter: 112, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1700.67, max: 3895.36
Date: 07-04 at 21:47:47, iter: 113, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1699.50, max: 3895.09
