Date: 07-04 at 08:11:23, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:12:52, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:14:18, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:15:36, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:17:01, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:18:24, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:19:54, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:21:18, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:22:34, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:23:57, iter: 86, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:25:18, iter: 87, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:26:47, iter: 88, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:28:11, iter: 89, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:29:27, iter: 90, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:30:45, iter: 91, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:32:13, iter: 93, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 2516.62, max: 4484.44
Date: 07-04 at 08:33:37, iter: 94, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1535.41, max: 1758.94
Date: 07-04 at 08:34:59, iter: 95, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1542.64, max: 1776.80
Date: 07-04 at 08:36:14, iter: 96, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1560.39, max: 1836.61
Date: 07-04 at 08:37:36, iter: 97, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1573.91, max: 1861.38
