Date: 07-21 at 00:35:53, #particle: 35, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1761.84, max: 1913.08
Date: 07-21 at 00:39:22, #particle: 35, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1770.04, max: 1978.07
Date: 07-21 at 00:42:52, #particle: 35, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1736.36, max: 1944.22
Date: 07-21 at 00:46:09, #particle: 35, iter: 91, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1749.59, max: 1991.21
Date: 07-21 at 00:49:31, #particle: 35, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1741.07, max: 1906.00
Date: 07-21 at 00:52:55, #particle: 35, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1729.90, max: 1912.76
Date: 07-21 at 00:56:18, #particle: 35, iter: 94, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1727.20, max: 1915.31
Date: 07-21 at 00:59:39, #particle: 35, iter: 95, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1717.33, max: 1821.44
Date: 07-21 at 01:02:59, #particle: 35, iter: 96, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1714.06, max: 1867.94
Date: 07-21 at 01:06:15, #particle: 35, iter: 97, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1707.99, max: 1777.48
Date: 07-21 at 01:09:35, #particle: 35, iter: 98, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1709.56, max: 1807.94
Date: 07-21 at 01:13:05, #particle: 35, iter: 99, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1712.87, max: 1785.76
Date: 07-21 at 01:16:43, #particle: 35, iter: 100, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1711.42, max: 1798.59
Date: 07-21 at 01:19:57, #particle: 35, iter: 101, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1706.85, max: 1770.64
Date: 07-21 at 01:23:13, #particle: 35, iter: 102, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1705.91, max: 1765.83
Date: 07-21 at 01:26:30, #particle: 35, iter: 104, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 2185.92, max: 2857.68
Date: 07-21 at 01:29:58, #particle: 35, iter: 105, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1772.05, max: 1935.14
Date: 07-21 at 01:33:15, #particle: 35, iter: 106, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1777.98, max: 1991.80
Date: 07-21 at 01:36:31, #particle: 35, iter: 107, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1795.00, max: 2020.90
Date: 07-21 at 01:39:54, #particle: 35, iter: 108, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1806.02, max: 2049.59
Date: 07-21 at 01:43:27, #particle: 35, iter: 109, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1732.21, max: 1815.09
Date: 07-21 at 01:46:50, #particle: 35, iter: 110, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1738.80, max: 1860.44
Date: 07-21 at 01:50:05, #particle: 35, iter: 111, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1746.61, max: 1904.62
Date: 07-21 at 01:53:23, #particle: 35, iter: 112, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1755.99, max: 1951.11
Date: 07-21 at 01:56:37, #particle: 35, iter: 113, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1751.26, max: 2002.03
Date: 07-21 at 01:59:53, #particle: 35, iter: 114, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1750.15, max: 1974.25
Date: 07-21 at 02:03:09, #particle: 35, iter: 115, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1729.07, max: 1855.90
