Date: 11-07 at 22:33:28, #particle: 15, iter: 76, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1359.89, max: 1663.09
Date: 11-07 at 22:34:35, #particle: 15, iter: 77, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1323.42, max: 1634.88
Date: 11-07 at 22:35:41, #particle: 15, iter: 79, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1569.63, max: 2062.15
Date: 11-07 at 22:36:48, #particle: 15, iter: 80, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1436.05, max: 1922.84
Date: 11-07 at 22:37:50, #particle: 15, iter: 81, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1392.70, max: 1882.63
Date: 11-07 at 22:38:56, #particle: 15, iter: 82, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1303.18, max: 1434.14
Date: 11-07 at 22:40:05, #particle: 15, iter: 84, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1542.42, max: 1857.77
Date: 11-07 at 22:41:09, #particle: 15, iter: 85, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1352.05, max: 1741.71
Date: 11-07 at 22:42:14, #particle: 15, iter: 86, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1322.67, max: 1511.66
Date: 11-07 at 22:43:21, #particle: 15, iter: 87, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1295.97, max: 1405.00
Date: 11-07 at 22:44:27, #particle: 15, iter: 89, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1614.48, max: 1862.28
Date: 11-07 at 22:45:32, #particle: 15, iter: 90, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1487.82, max: 1870.22
