Date: 08-02 at 02:02:25, #particle: 15, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 833.98, max: 864.28
Date: 08-02 at 02:03:04, #particle: 15, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 813.04(5), mean: 853.46, max: 890.56
Date: 08-02 at 02:03:46, #particle: 15, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.92(5), mean: 837.04, max: 892.32
Date: 08-02 at 02:04:27, #particle: 15, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.89(5), mean: 854.90, max: 895.76
Date: 08-02 at 02:05:08, #particle: 15, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 838.88, max: 905.34
Date: 08-02 at 02:05:49, #particle: 15, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 840.71, max: 888.38
Date: 08-02 at 02:06:34, #particle: 15, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 828.78, max: 853.35
Date: 08-02 at 02:07:13, #particle: 15, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 853.25, max: 893.03
Date: 08-02 at 02:07:54, #particle: 15, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 844.39, max: 917.19
Date: 08-02 at 02:08:38, #particle: 15, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 827.95, max: 869.08
Date: 08-02 at 02:09:17, #particle: 15, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 828.05, max: 871.60
Date: 08-02 at 02:09:57, #particle: 15, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 837.01, max: 905.09
Date: 08-02 at 02:10:38, #particle: 15, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 814.54, max: 838.57
Date: 08-02 at 02:11:21, #particle: 15, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 813.75, max: 838.57
Date: 08-02 at 02:12:01, #particle: 15, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 3178.32, max: 3802.42
Date: 08-02 at 02:12:49, #particle: 15, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1309.80, max: 2607.60
