Date: 07-05 at 13:47:15, iter: 71, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1139.84, max: 1139.99
Date: 07-05 at 13:48:26, iter: 72, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1164.69, max: 1171.48
Date: 07-05 at 13:49:34, iter: 73, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.74, max: 1140.70
Date: 07-05 at 13:50:47, iter: 74, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1141.50, max: 1150.14
Date: 07-05 at 13:52:01, iter: 75, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.56, max: 1140.17
Date: 07-05 at 13:53:14, iter: 76, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 13:54:36, iter: 77, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 13:56:04, iter: 78, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 13:57:34, iter: 79, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 13:59:05, iter: 80, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 14:00:36, iter: 81, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 14:01:54, iter: 82, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1141.02, max: 1149.43
Date: 07-05 at 14:03:08, iter: 83, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1140.06
Date: 07-05 at 14:04:23, iter: 84, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.55, max: 1139.99
Date: 07-05 at 14:05:36, iter: 85, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.85, max: 1155.31
Date: 07-05 at 14:06:44, iter: 86, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:08:20, iter: 87, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:09:48, iter: 88, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:11:06, iter: 89, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:12:27, iter: 90, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:13:36, iter: 91, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:15:08, iter: 92, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:16:23, iter: 93, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
