Date: 07-01 at 11:26:23, iter: 129, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:28:16, iter: 130, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:30:03, iter: 131, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:31:51, iter: 132, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:33:55, iter: 133, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:35:42, iter: 134, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:37:40, iter: 136, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 2132.27, max: 3653.09
Date: 07-01 at 11:39:31, iter: 137, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1191.32, max: 1566.97
Date: 07-01 at 11:41:23, iter: 138, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1152.48, max: 1495.73
Date: 07-01 at 11:43:07, iter: 139, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1090.88, max: 1448.14
Date: 07-01 at 11:44:55, iter: 140, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1058.69, max: 1223.36
Date: 07-01 at 11:46:38, iter: 141, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 993.09(14) mean: 1028.71, max: 1150.04
Date: 07-01 at 11:48:24, iter: 142, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 931.48(13) mean: 1003.92, max: 1103.41
Date: 07-01 at 11:50:20, iter: 143, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 900.20(12) mean: 1031.12, max: 1135.06
Date: 07-01 at 11:52:03, iter: 144, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 900.20(12) mean: 977.19, max: 1026.25
Date: 07-01 at 11:53:50, iter: 145, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 900.20(12) mean: 969.60, max: 1026.24
Date: 07-01 at 11:55:39, iter: 146, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 892.97(12) mean: 962.12, max: 1028.88
Date: 07-01 at 11:57:18, iter: 147, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 954.91, max: 1028.69
Date: 07-01 at 11:58:06, iter: 148, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 954.77, max: 1028.69
Date: 07-01 at 11:58:55, iter: 149, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 923.25, max: 969.58
Date: 07-01 at 11:59:42, iter: 150, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 880.80, max: 919.64
Date: 07-01 at 12:00:35, iter: 151, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 873.72, max: 892.97
Date: 07-01 at 12:01:24, iter: 152, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 872.12, max: 892.97
Date: 07-01 at 12:02:19, iter: 153, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 872.12, max: 892.97
Date: 07-01 at 12:03:14, iter: 154, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:04:08, iter: 155, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:04:59, iter: 156, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:05:45, iter: 157, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:06:33, iter: 158, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:07:26, iter: 159, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:08:19, iter: 160, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:09:10, iter: 161, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:09:59, iter: 162, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:10:46, iter: 163, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:11:38, iter: 164, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:12:33, iter: 165, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:13:25, iter: 166, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:14:14, iter: 167, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:15:02, iter: 168, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:15:52, iter: 169, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:16:46, iter: 170, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:17:38, iter: 171, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:18:25, iter: 172, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:19:11, iter: 173, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:20:01, iter: 174, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
Date: 07-01 at 12:20:54, iter: 175, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 861.70(11) mean: 861.70, max: 861.70
