Date: 07-20 at 16:07:28, #particle: 10, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 2196.56, max: 2857.39
Date: 07-20 at 16:08:14, #particle: 10, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1818.23, max: 1924.43
Date: 07-20 at 16:08:59, #particle: 10, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1782.78, max: 1970.65
Date: 07-20 at 16:09:44, #particle: 10, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1775.18, max: 2021.77
Date: 07-20 at 16:10:26, #particle: 10, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1762.63, max: 2037.28
Date: 07-20 at 16:11:10, #particle: 10, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1784.92, max: 2070.48
Date: 07-20 at 16:11:54, #particle: 10, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1739.10, max: 1960.13
Date: 07-20 at 16:12:41, #particle: 10, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1699.03, max: 1759.52
Date: 07-20 at 16:13:23, #particle: 10, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1714.71, max: 1797.44
Date: 07-20 at 16:14:07, #particle: 10, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1724.50, max: 1807.75
Date: 07-20 at 16:14:48, #particle: 10, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1730.75, max: 1838.54
Date: 07-20 at 16:15:34, #particle: 10, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1698.46, max: 1783.14
Date: 07-20 at 16:16:16, #particle: 10, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1722.30, max: 1834.13
Date: 07-20 at 16:16:56, #particle: 10, iter: 102, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1791.54, max: 1955.20
Date: 07-20 at 16:17:39, #particle: 10, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1714.50, max: 1782.93
Date: 07-20 at 16:18:24, #particle: 10, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1691.66, max: 1728.96
Date: 07-20 at 16:19:09, #particle: 10, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1691.89, max: 1763.91
Date: 07-20 at 16:19:53, #particle: 10, iter: 107, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1738.20, max: 1861.80
Date: 07-20 at 16:20:33, #particle: 10, iter: 108, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1729.96, max: 1864.16
Date: 07-20 at 16:21:15, #particle: 10, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 2190.94, max: 2796.77
Date: 07-20 at 16:22:04, #particle: 10, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1780.73, max: 1972.26
Date: 07-20 at 16:22:52, #particle: 10, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1821.44, max: 2031.55
Date: 07-20 at 16:23:32, #particle: 10, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1802.86, max: 2058.47
Date: 07-20 at 16:24:16, #particle: 10, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1762.52, max: 2098.49
Date: 07-20 at 16:25:00, #particle: 10, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1667.89(20), mean: 1720.95, max: 1841.87
Date: 07-20 at 16:25:47, #particle: 10, iter: 117, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1667.89(20), mean: 1704.98, max: 1789.21
Date: 07-20 at 16:26:28, #particle: 10, iter: 118, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1712.24, max: 1818.56
Date: 07-20 at 16:27:10, #particle: 10, iter: 119, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1717.94, max: 1878.47
