Date: 07-10 at 06:13:40, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.35, max: 645.27
Date: 07-10 at 06:14:16, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 649.22, max: 741.79
Date: 07-10 at 06:14:39, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.96, max: 651.32
Date: 07-10 at 06:15:05, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.56, max: 645.27
Date: 07-10 at 06:15:32, iter: 101, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.56, max: 645.27
Date: 07-10 at 06:16:23, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 662.31, max: 944.73
Date: 07-10 at 06:16:49, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 660.00, max: 910.02
Date: 07-10 at 06:17:19, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 652.73, max: 800.98
Date: 07-10 at 06:17:45, iter: 106, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:18:31, iter: 108, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:18:56, iter: 109, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:19:29, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:19:58, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:20:41, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 698.46, max: 1092.37
Date: 07-10 at 06:21:04, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 698.04, max: 1095.45
Date: 07-10 at 06:21:34, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 678.65, max: 919.87
Date: 07-10 at 06:22:06, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 649.49, max: 698.44
Date: 07-10 at 06:22:48, iter: 118, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 689.96, max: 1046.62
