Date: 07-08 at 20:56:43, iter: 115, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:57:23, iter: 116, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:58:04, iter: 117, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:58:47, iter: 118, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:01:16, iter: 120, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 595.25, max: 648.98
Date: 07-08 at 21:01:56, iter: 121, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 595.38, max: 654.32
Date: 07-08 at 21:02:37, iter: 122, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.42, max: 594.85
Date: 07-08 at 21:03:19, iter: 123, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:05:46, iter: 125, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 646.30, max: 920.20
Date: 07-08 at 21:06:28, iter: 126, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:07:08, iter: 127, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:07:49, iter: 128, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:10:24, iter: 130, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 614.95, max: 784.18
Date: 07-08 at 21:11:07, iter: 131, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 604.45, max: 716.91
Date: 07-08 at 21:11:46, iter: 132, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 597.93, max: 647.00
Date: 07-08 at 21:12:28, iter: 133, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 596.50, max: 628.72
Date: 07-08 at 21:14:14, iter: 135, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 656.28, max: 840.38
Date: 07-08 at 21:14:58, iter: 136, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 644.36, max: 852.17
Date: 07-08 at 21:15:38, iter: 137, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 639.82, max: 861.11
Date: 07-08 at 21:16:20, iter: 138, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 607.29, max: 631.72
Date: 07-08 at 21:17:50, iter: 140, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 672.21, max: 1047.11
Date: 07-08 at 21:18:33, iter: 141, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 644.25, max: 1047.66
Date: 07-08 at 21:19:13, iter: 142, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 640.47, max: 1006.19
Date: 07-08 at 21:19:57, iter: 143, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 618.80, max: 690.04
Date: 07-08 at 21:21:08, iter: 145, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 699.52, max: 954.53
Date: 07-08 at 21:21:48, iter: 146, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 670.81, max: 914.26
Date: 07-08 at 21:22:30, iter: 147, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:23:13, iter: 148, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:25:40, iter: 150, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:26:19, iter: 151, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:27:00, iter: 152, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:27:42, iter: 153, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:29:28, iter: 155, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 658.55, max: 802.91
Date: 07-08 at 21:30:09, iter: 156, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 595.65, max: 637.60
Date: 07-08 at 21:30:50, iter: 157, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:31:32, iter: 158, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:34:00, iter: 160, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 601.07, max: 648.98
Date: 07-08 at 21:34:40, iter: 161, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 602.14, max: 654.32
Date: 07-08 at 21:35:21, iter: 162, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:36:03, iter: 163, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:39:00, iter: 165, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 594.88, max: 646.79
Date: 07-08 at 21:39:41, iter: 166, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.76, max: 599.91
Date: 07-08 at 21:40:21, iter: 167, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:41:03, iter: 168, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:43:20, iter: 170, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 595.77, max: 623.98
Date: 07-08 at 21:44:02, iter: 171, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 596.26, max: 629.32
Date: 07-08 at 21:44:42, iter: 172, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:45:23, iter: 173, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 21:47:38, iter: 175, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 599.22, max: 648.98
Date: 07-08 at 21:48:23, iter: 176, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 595.85, max: 626.27
