Date: 07-17 at 16:26:07, iter: 193, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1772.33, max: 2085.34
Date: 07-17 at 16:27:08, iter: 194, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1775.23, max: 2074.90
Date: 07-17 at 16:28:10, iter: 195, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1776.19, max: 2099.73
Date: 07-17 at 16:29:11, iter: 196, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1758.13, max: 2128.50
Date: 07-17 at 16:30:17, iter: 198, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1737.06, max: 2027.71
Date: 07-17 at 16:31:18, iter: 199, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1702.92, max: 1854.99
Date: 07-17 at 16:32:23, iter: 200, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1710.59, max: 1880.66
Date: 07-17 at 16:33:24, iter: 201, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1705.09, max: 1917.10
Date: 07-17 at 16:34:26, iter: 203, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1723.46, max: 1958.52
Date: 07-17 at 16:35:30, iter: 204, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1692.85, max: 1811.54
Date: 07-17 at 16:36:32, iter: 205, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1687.65, max: 1796.27
Date: 07-17 at 16:37:35, iter: 206, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1702.73, max: 1863.77
