Date: 09-17 at 17:37:32, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1042.77(12), mean: 1203.84, max: 1353.01
Date: 09-17 at 17:38:30, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1042.77(12), mean: 1191.17, max: 1309.93
Date: 09-17 at 17:39:42, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1038.47(12), mean: 1103.54, max: 1207.27
Date: 09-17 at 17:40:44, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1037.02(12), mean: 1090.35, max: 1146.08
Date: 09-17 at 17:41:44, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1037.02(12), mean: 1103.47, max: 1211.33
Date: 09-17 at 17:42:51, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1037.02(12), mean: 1085.44, max: 1172.83
Date: 09-17 at 17:43:53, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1031.86(12), mean: 1057.55, max: 1096.98
Date: 09-17 at 17:44:58, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1030.01(12), mean: 1054.99, max: 1096.98
Date: 09-17 at 17:46:00, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1030.01(12), mean: 1085.38, max: 1129.83
Date: 09-17 at 17:47:06, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1030.01(12), mean: 1045.93, max: 1081.50
Date: 09-17 at 17:48:02, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1029.57(12), mean: 1051.52, max: 1101.38
Date: 09-17 at 17:49:07, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1016.61(11), mean: 1034.55, max: 1064.25
Date: 09-17 at 17:50:09, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1016.05(11), mean: 1042.21, max: 1097.43
