Date: 07-05 at 01:42:12, iter: 159, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1364.49, max: 1566.70
Date: 07-05 at 01:43:41, iter: 161, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1664.16, max: 2227.68
Date: 07-05 at 01:44:59, iter: 162, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1466.91, max: 2077.24
Date: 07-05 at 01:46:18, iter: 163, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1400.52, max: 1710.56
Date: 07-05 at 01:47:50, iter: 164, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1383.08, max: 1674.51
Date: 07-05 at 01:49:15, iter: 166, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1695.89, max: 2269.20
Date: 07-05 at 01:50:27, iter: 167, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1540.67, max: 2045.38
Date: 07-05 at 01:51:46, iter: 168, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1477.60, max: 1903.43
Date: 07-05 at 01:52:53, iter: 169, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1401.35, max: 1528.94
Date: 07-05 at 01:54:18, iter: 171, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1597.25, max: 1905.18
Date: 07-05 at 01:55:43, iter: 173, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 2646.55, max: 4407.83
Date: 07-05 at 01:57:09, iter: 174, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1546.62, max: 1859.80
Date: 07-05 at 01:58:24, iter: 175, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1565.61, max: 1847.37
