Date: 07-06 at 13:14:08, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:15:20, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:16:26, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:17:33, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:18:41, iter: 86, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:19:54, iter: 87, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:21:01, iter: 88, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:22:07, iter: 89, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:23:15, iter: 90, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:24:25, iter: 91, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:25:37, iter: 92, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:26:44, iter: 93, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:27:51, iter: 94, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:28:59, iter: 95, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:30:11, iter: 96, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:31:17, iter: 97, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:32:24, iter: 98, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:33:33, iter: 99, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:34:43, iter: 100, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:35:51, iter: 102, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1988.09, max: 3202.86
Date: 07-06 at 13:36:59, iter: 103, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1336.50, max: 2911.09
Date: 07-06 at 13:38:05, iter: 104, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1266.31, max: 1456.63
