Date: 07-06 at 06:09:00, iter: 184, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1619.34, max: 1925.81
Date: 07-06 at 06:10:16, iter: 186, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1574.01, max: 1836.24
Date: 07-06 at 06:11:21, iter: 187, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1582.88, max: 1830.75
Date: 07-06 at 06:12:35, iter: 188, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1572.56, max: 1865.74
Date: 07-06 at 06:13:47, iter: 189, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1559.32, max: 1763.09
Date: 07-06 at 06:14:59, iter: 191, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1581.38, max: 1761.28
Date: 07-06 at 06:16:14, iter: 192, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1542.83, max: 1665.94
Date: 07-06 at 06:17:21, iter: 193, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1549.10, max: 1665.80
Date: 07-06 at 06:18:31, iter: 194, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1522.12, max: 1593.88
Date: 07-06 at 06:19:42, iter: 196, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1562.71, max: 1773.06
Date: 07-06 at 06:20:51, iter: 197, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1558.99, max: 1822.14
Date: 07-06 at 06:22:00, iter: 198, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1555.06, max: 1691.04
Date: 07-06 at 06:23:15, iter: 199, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1549.38, max: 1721.58
Date: 07-06 at 06:24:30, iter: 201, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1546.32, max: 1778.65
