Date: 08-05 at 20:17:58, iter: 177, new3, Khoo: 753.15, current_best: 799.06 best obj: 969.97(8) mean: 1158.19, max: 1573.27
Date: 08-05 at 20:19:34, iter: 178, new3, Khoo: 753.15, current_best: 799.06 best obj: 872.35(7) mean: 965.36, max: 1105.00
Date: 08-05 at 20:20:45, iter: 179, new3, Khoo: 753.15, current_best: 799.06 best obj: 857.73(7) mean: 999.08, max: 1140.06
Date: 08-05 at 20:21:50, iter: 180, new3, Khoo: 753.15, current_best: 799.06 best obj: 855.80(8) mean: 947.37, max: 1132.84
Date: 08-05 at 20:22:59, iter: 182, new3, Khoo: 753.15, current_best: 799.06 best obj: 840.70(7) mean: 1040.83, max: 1251.46
Date: 08-05 at 20:24:12, iter: 183, new3, Khoo: 753.15, current_best: 799.06 best obj: 840.70(7) mean: 1000.15, max: 1282.78
Date: 08-05 at 20:25:13, iter: 184, new3, Khoo: 753.15, current_best: 799.06 best obj: 826.72(6) mean: 895.06, max: 1105.08
Date: 08-05 at 20:26:28, iter: 185, new3, Khoo: 753.15, current_best: 799.06 best obj: 826.72(6) mean: 885.15, max: 993.70
Date: 08-05 at 20:27:39, iter: 187, new3, Khoo: 753.15, current_best: 799.06 best obj: 826.72(6) mean: 1037.08, max: 1306.03
Date: 08-05 at 20:29:00, iter: 189, new3, Khoo: 753.15, current_best: 799.06 best obj: 825.76(8) mean: 939.36, max: 1179.99
Date: 08-05 at 20:30:13, iter: 190, new3, Khoo: 753.15, current_best: 799.06 best obj: 892.21(8) mean: 1200.95, max: 1669.99
Date: 08-05 at 20:31:34, iter: 191, new3, Khoo: 753.15, current_best: 799.06 best obj: 857.82(7) mean: 1124.68, max: 1542.86
Date: 08-05 at 20:32:47, iter: 193, new3, Khoo: 753.15, current_best: 799.06 best obj: 854.31(7) mean: 1235.19, max: 1675.62
Date: 08-05 at 20:34:03, iter: 194, new3, Khoo: 753.15, current_best: 799.06 best obj: 853.84(7) mean: 1112.09, max: 1459.32
