Date: 07-19 at 12:36:40, iter: 129, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1302.84, max: 1537.64
Date: 07-19 at 12:37:28, iter: 130, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1289.82, max: 1451.89
Date: 07-19 at 12:38:13, iter: 131, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1290.52, max: 1433.35
Date: 07-19 at 12:39:01, iter: 133, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1432.71, max: 1742.86
Date: 07-19 at 12:39:47, iter: 134, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1390.66, max: 1806.09
Date: 07-19 at 12:40:36, iter: 135, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1267.92, max: 1452.09
Date: 07-19 at 12:41:22, iter: 136, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1272.60, max: 1487.36
Date: 07-19 at 12:42:07, iter: 138, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1465.39, max: 1746.92
Date: 07-19 at 12:42:53, iter: 139, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1305.24, max: 1577.98
Date: 07-19 at 12:43:39, iter: 140, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1301.35, max: 1403.39
Date: 07-19 at 12:44:26, iter: 141, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1317.48, max: 1455.92
Date: 07-19 at 12:45:12, iter: 143, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1489.85, max: 1677.67
Date: 07-19 at 12:46:02, iter: 144, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1345.50, max: 1574.49
