Date: 08-01 at 03:33:15, #particle: 15, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1383.79, max: 1510.26
Date: 08-01 at 03:34:30, #particle: 15, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1349.37, max: 1556.70
Date: 08-01 at 03:35:42, #particle: 15, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1327.03, max: 1441.09
Date: 08-01 at 03:36:59, #particle: 15, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1334.13, max: 1468.84
Date: 08-01 at 03:38:13, #particle: 15, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1303.69, max: 1363.21
Date: 08-01 at 03:39:29, #particle: 15, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2465.26, max: 2935.62
Date: 08-01 at 03:40:49, #particle: 15, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2364.76, max: 2901.84
Date: 08-01 at 03:42:09, #particle: 15, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2183.87, max: 2817.28
Date: 08-01 at 03:43:25, #particle: 15, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1451.19, max: 1569.65
Date: 08-01 at 03:44:42, #particle: 15, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1467.39, max: 1590.42
Date: 08-01 at 03:45:57, #particle: 15, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1480.76, max: 1652.27
Date: 08-01 at 03:47:11, #particle: 15, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1387.12, max: 1474.21
Date: 08-01 at 03:48:29, #particle: 15, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1431.58, max: 1518.24
Date: 08-01 at 03:49:43, #particle: 15, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1454.51, max: 1532.74
Date: 08-01 at 03:51:00, #particle: 15, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2355.65, max: 2698.58
Date: 08-01 at 03:52:21, #particle: 15, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1933.00, max: 2653.95
Date: 08-01 at 03:53:36, #particle: 15, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1745.26, max: 2577.70
Date: 08-01 at 03:54:55, #particle: 15, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1761.37, max: 2502.42
Date: 08-01 at 03:56:12, #particle: 15, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1664.57, max: 2429.54
Date: 08-01 at 03:57:31, #particle: 15, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1589.45, max: 2330.31
Date: 08-01 at 03:58:51, #particle: 15, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1475.47, max: 2238.67
Date: 08-01 at 04:00:05, #particle: 15, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1379.94, max: 1475.20
Date: 08-01 at 04:01:21, #particle: 15, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1383.59, max: 1479.24
Date: 08-01 at 04:02:37, #particle: 15, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2404.21, max: 2919.09
Date: 08-01 at 04:03:56, #particle: 15, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2252.23, max: 2912.77
Date: 08-01 at 04:05:15, #particle: 15, iter: 94, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2169.22, max: 2831.89
