Date: 07-11 at 04:45:10, iter: 126, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1402.36, max: 1478.08
Date: 07-11 at 04:46:01, iter: 127, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1425.92, max: 1537.54
Date: 07-11 at 04:46:57, iter: 129, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1452.73, max: 1698.82
Date: 07-11 at 04:47:39, iter: 130, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1440.85, max: 1610.09
Date: 07-11 at 04:48:29, iter: 131, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1410.81, max: 1633.86
Date: 07-11 at 04:49:22, iter: 132, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1389.07, max: 1459.64
Date: 07-11 at 04:50:12, iter: 134, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1409.20, max: 1540.81
Date: 07-11 at 04:50:58, iter: 135, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1391.37, max: 1509.70
Date: 07-11 at 04:51:50, iter: 136, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1409.98, max: 1542.46
Date: 07-11 at 04:52:41, iter: 137, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1377.64, max: 1497.01
Date: 07-11 at 04:53:31, iter: 139, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1408.71, max: 1646.67
Date: 07-11 at 04:54:18, iter: 140, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1383.07, max: 1480.26
Date: 07-11 at 04:55:09, iter: 141, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1366.71, max: 1408.77
Date: 07-11 at 04:56:02, iter: 142, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1375.19, max: 1430.62
Date: 07-11 at 04:56:56, iter: 144, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1397.23, max: 1581.45
Date: 07-11 at 04:57:47, iter: 145, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1375.23, max: 1553.84
Date: 07-11 at 04:58:39, iter: 146, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1371.65, max: 1577.23
Date: 07-11 at 04:59:26, iter: 147, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1378.45, max: 1641.82
Date: 07-11 at 05:00:18, iter: 149, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1369.33, max: 1458.53
Date: 07-11 at 05:01:09, iter: 150, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1370.88, max: 1455.28
Date: 07-11 at 05:02:03, iter: 151, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1364.42, max: 1415.70
Date: 07-11 at 05:02:48, iter: 152, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1363.95, max: 1443.13
Date: 07-11 at 05:03:40, iter: 154, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1393.95, max: 1513.22
Date: 07-11 at 05:04:30, iter: 155, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1393.01, max: 1530.87
Date: 07-11 at 05:05:21, iter: 156, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1347.75(12) mean: 1371.47, max: 1436.26
Date: 07-11 at 05:06:06, iter: 157, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1377.14, max: 1460.15
Date: 07-11 at 05:06:57, iter: 158, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1370.35, max: 1447.82
Date: 07-11 at 05:07:50, iter: 159, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1384.45, max: 1487.10
Date: 07-11 at 05:08:39, iter: 160, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1358.19, max: 1429.42
Date: 07-11 at 05:09:26, iter: 161, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1358.36, max: 1438.18
Date: 07-11 at 05:10:17, iter: 163, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1330.04(12) mean: 1382.65, max: 1596.07
Date: 07-11 at 05:11:04, iter: 164, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1328.16(12) mean: 1339.83, max: 1419.42
Date: 07-11 at 05:11:51, iter: 165, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1328.16(12) mean: 1339.47, max: 1412.31
Date: 07-11 at 05:12:39, iter: 166, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1328.16(12) mean: 1344.35, max: 1444.88
Date: 07-11 at 05:13:29, iter: 167, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1328.16(12) mean: 1334.05, max: 1362.81
Date: 07-11 at 05:14:19, iter: 168, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1328.16(12) mean: 1334.03, max: 1362.81
Date: 07-11 at 05:15:13, iter: 170, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1338.07, max: 1403.77
Date: 07-11 at 05:15:53, iter: 171, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1378.74, max: 1450.80
Date: 07-11 at 05:16:41, iter: 172, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1344.47, max: 1362.81
Date: 07-11 at 05:17:30, iter: 173, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1343.89, max: 1362.81
Date: 07-11 at 05:18:20, iter: 175, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1405.66, max: 1523.77
Date: 07-11 at 05:19:02, iter: 176, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1433.69, max: 1545.18
Date: 07-11 at 05:19:54, iter: 177, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1380.21, max: 1524.47
Date: 07-11 at 05:20:44, iter: 178, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1352.00, max: 1441.38
Date: 07-11 at 05:21:36, iter: 180, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1388.56, max: 1576.75
Date: 07-11 at 05:22:28, iter: 181, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1366.44, max: 1573.25
Date: 07-11 at 05:23:20, iter: 182, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1365.00, max: 1463.18
Date: 07-11 at 05:24:09, iter: 183, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1354.32, max: 1540.56
Date: 07-11 at 05:25:03, iter: 185, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1361.65, max: 1546.23
Date: 07-11 at 05:25:53, iter: 186, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1346.92, max: 1452.41
Date: 07-11 at 05:26:46, iter: 187, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1345.42, max: 1430.71
Date: 07-11 at 05:27:33, iter: 188, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1344.94, max: 1429.23
Date: 07-11 at 05:28:27, iter: 190, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1381.91, max: 1640.79
Date: 07-11 at 05:29:19, iter: 191, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1383.02, max: 1636.40
Date: 07-11 at 05:30:12, iter: 192, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1367.88, max: 1731.85
Date: 07-11 at 05:30:55, iter: 193, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1339.95, max: 1395.42
Date: 07-11 at 05:31:46, iter: 195, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1361.97, max: 1538.43
Date: 07-11 at 05:32:37, iter: 196, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1346.12, max: 1539.88
Date: 07-11 at 05:33:31, iter: 197, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1337.01, max: 1370.69
Date: 07-11 at 05:34:16, iter: 198, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1332.67, max: 1358.94
Date: 07-11 at 05:35:12, iter: 200, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1332.67, max: 1358.94
Date: 07-11 at 05:35:59, iter: 201, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1327.71(12) mean: 1334.15, max: 1361.71
