Date: 07-15 at 06:36:55, iter: 159, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1509.40, max: 1550.22
Date: 07-15 at 06:37:57, iter: 160, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1518.06, max: 1618.45
Date: 07-15 at 06:39:01, iter: 162, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1559.31, max: 1895.29
Date: 07-15 at 06:40:08, iter: 163, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1510.45, max: 1568.54
Date: 07-15 at 06:41:09, iter: 164, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1527.09, max: 1601.41
Date: 07-15 at 06:42:08, iter: 165, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1532.09, max: 1629.42
Date: 07-15 at 06:43:20, iter: 167, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1574.09, max: 1864.61
Date: 07-15 at 06:44:28, iter: 168, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1535.42, max: 1876.02
Date: 07-15 at 06:45:36, iter: 169, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1533.17, max: 1897.17
Date: 07-15 at 06:46:41, iter: 170, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1533.49, max: 1891.03
Date: 07-15 at 06:47:57, iter: 172, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1535.99, max: 1751.78
Date: 07-15 at 06:49:05, iter: 173, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1537.42, max: 1760.17
Date: 07-15 at 06:50:08, iter: 174, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1530.60, max: 1748.42
Date: 07-15 at 06:51:17, iter: 175, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1517.55, max: 1649.60
Date: 07-15 at 06:52:35, iter: 177, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1508.58, max: 1587.83
Date: 07-15 at 06:53:36, iter: 178, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1513.03, max: 1654.52
Date: 07-15 at 06:54:42, iter: 179, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1507.32, max: 1568.83
Date: 07-15 at 06:55:57, iter: 180, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1503.30, max: 1538.52
Date: 07-15 at 06:57:06, iter: 182, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1516.25, max: 1638.24
Date: 07-15 at 06:58:08, iter: 183, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1509.10, max: 1594.72
Date: 07-15 at 06:59:11, iter: 184, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1510.88, max: 1593.93
Date: 07-15 at 07:00:11, iter: 185, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1514.28, max: 1669.89
Date: 07-15 at 07:01:19, iter: 187, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1531.23, max: 1672.93
Date: 07-15 at 07:02:16, iter: 188, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1519.70, max: 1605.41
Date: 07-15 at 07:03:13, iter: 189, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1514.72, max: 1599.46
Date: 07-15 at 07:04:15, iter: 190, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1514.36, max: 1593.93
Date: 07-15 at 07:05:26, iter: 192, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1518.08, max: 1593.93
Date: 07-15 at 07:06:31, iter: 193, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1516.11, max: 1593.93
Date: 07-15 at 07:07:30, iter: 194, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1525.56, max: 1666.37
Date: 07-15 at 07:08:31, iter: 195, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1518.89, max: 1639.01
Date: 07-15 at 07:09:39, iter: 197, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1531.20, max: 1707.11
Date: 07-15 at 07:10:38, iter: 198, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1520.07, max: 1657.89
Date: 07-15 at 07:11:40, iter: 199, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1508.80, max: 1597.18
Date: 07-15 at 07:12:43, iter: 200, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1508.79, max: 1578.18
Date: 07-15 at 07:13:51, iter: 202, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1521.14, max: 1719.71
