Date: 07-14 at 08:02:33, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1561.93, max: 1820.09
Date: 07-14 at 08:03:26, iter: 106, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1540.06, max: 1640.41
Date: 07-14 at 08:04:16, iter: 107, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1605.05, max: 1708.03
Date: 07-14 at 08:05:14, iter: 109, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1609.79, max: 1887.54
Date: 07-14 at 08:06:08, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1539.47, max: 1662.15
Date: 07-14 at 08:07:02, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1527.02, max: 1628.57
Date: 07-14 at 08:07:58, iter: 112, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1554.38, max: 1650.69
Date: 07-14 at 08:08:55, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1536.29, max: 1650.75
Date: 07-14 at 08:09:50, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1516.89, max: 1591.92
Date: 07-14 at 08:10:47, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1520.82, max: 1583.35
Date: 07-14 at 08:11:39, iter: 117, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1584.16, max: 1662.61
Date: 07-14 at 08:12:35, iter: 119, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1603.88, max: 1733.24
Date: 07-14 at 08:13:29, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1641.10, max: 1816.28
Date: 07-14 at 08:14:23, iter: 121, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1625.95, max: 1822.14
Date: 07-14 at 08:15:17, iter: 122, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1572.60, max: 1794.03
Date: 07-14 at 08:16:18, iter: 124, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1606.65, max: 1819.73
Date: 07-14 at 08:17:10, iter: 125, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1553.83, max: 1732.85
Date: 07-14 at 08:18:02, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1607.33, max: 1817.72
Date: 07-14 at 08:19:00, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1569.77, max: 1657.61
Date: 07-14 at 08:19:51, iter: 129, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1660.10, max: 2020.00
Date: 07-14 at 08:20:46, iter: 130, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1610.94, max: 2036.32
Date: 07-14 at 08:21:41, iter: 131, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1589.80, max: 1823.23
Date: 07-14 at 08:22:32, iter: 132, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1593.16, max: 1849.61
Date: 07-14 at 08:23:31, iter: 134, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1583.58, max: 1825.57
