Date: 07-20 at 04:08:26, #particle: 35, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1724.24, max: 1863.73
Date: 07-20 at 04:10:44, #particle: 35, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1726.43, max: 1854.83
Date: 07-20 at 04:12:58, #particle: 35, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 2167.71, max: 2933.47
Date: 07-20 at 04:15:28, #particle: 35, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1754.35, max: 1909.09
Date: 07-20 at 04:17:50, #particle: 35, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1731.49, max: 1915.70
Date: 07-20 at 04:20:07, #particle: 35, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1736.58, max: 1957.31
Date: 07-20 at 04:22:33, #particle: 35, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1710.80, max: 1799.57
Date: 07-20 at 04:24:48, #particle: 35, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1725.44, max: 1843.57
Date: 07-20 at 04:27:03, #particle: 35, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1732.30, max: 1889.03
Date: 07-20 at 04:29:23, #particle: 35, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1753.39, max: 1933.50
Date: 07-20 at 04:31:48, #particle: 35, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1735.42, max: 1979.71
Date: 07-20 at 04:34:03, #particle: 35, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1747.35, max: 2025.11
Date: 07-20 at 04:36:29, #particle: 35, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1720.02, max: 1862.48
Date: 07-20 at 04:38:53, #particle: 35, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1711.37, max: 1889.74
